BİRİM ADI,İNTERNET ADRESİ,E-POSTA,TELEFON,FAKS,ADRES,REKTÖR,Column1
İSTANBUL TEKNİK ÜNİVERSİTESİ,http://www.itu.edu.tr,ozelkalem@itu.edu.tr,02122852900,02122856610,İTÜ Ayazağa Yerleşkesi yeni Rektörlük Binası Kat:2 MASLAK-SARIYER-İSTANBUL,İSMAİL,KOYUNCU
İSTANBUL TİCARET ÜNİVERSİTESİ,http://www.ticaret.edu.tr,rektorluk@ticaret.edu.tr,02123144141,212 320 70 11,"Örnektepe Mahallesi, İmrahor Caddesi No: 88/2 34445 Beyoğlu / İSTANBUL",ABDULHAMİ T,AVŞAR
İSTANBUL TOPKAPI ÜNİVERSİTESİ,www.topkapi.edu.tr,rektorluk@topkapi.edu.tr,4447696,02126214503,Prof.Muammer Aksoy Cd. No: 10 Kazlıçeşme / İSTANBUL,EMRE,ALKİN
İSTANBUL ÜNİVERSİTESİ,http://www.istanbul.edu.tr,iubilgi@istanbul.edu.tr,02124400000,0 212 440 00 10,İSTANBUL ÜNİVERSİTESİ REKTÖRLÜK İSTANBUL UNIVERSITY RECTORATE,OSMAN BÜLENT,ZÜLFİKAR
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,https://iuc.edu.tr,bilgi@iuc.edu.tr,02124040700,02124040701,İstanbul Üniversitesi-Cerrahpaşa Rektörlüğü 34320 Avcılar/İstanbul,NURİ,AYDIN
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,www.yeniyuzyil.edu.tr,info@yeniyuzyil.edu.tr,444 5001,0212 481 4058,T.C. İstanbul Yeni Yüzyıl Üniversitesi Topkapı Dr. Azmi  Ofluoğlu Yerleşkesi,İLHAN YAŞAR,HACISALİHOĞLU
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,http://www.29mayis.edu.tr,29mayis@29mayis.edu.tr,02164740860,02164740875,Elmalıkent Mah. Elmalıkent Cad. No:4 Ümraniye / İSTANBUL,MUSTAFA,SİNANOĞLU
İSTİNYE ÜNİVERSİTESİ,www.istinye.edu.tr,info@istinye.edu.tr,08502836000,212 481 36 88,"İstinye Üniversitesi Topkapı Kampüsü, Maltepe Mah., Teyyareci Sami Sokak, No.3 Zeytinburnu, İstanbul, 34010",ERKAN,İBİŞ
İZMİR BAKIRÇAY ÜNİVERSİTESİ,bakircay.edu.tr,info@bakircay.edu.tr,02324930000,02324930000,Seyrek Kampüsü/ Gazi Mustafa Kemal Mah.Kaynaklar Cad./ Seyrek/Menemen/İZMİR,MUSTAFA,BERKTAŞ
İZMİR DEMOKRASİ ÜNİVERSİTESİ,http://www.idu.edu.tr,iletisim@idu.edu.tr,02322601001,02322601004,"Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR",BEDRİYE,TUNÇSİPER
İZMİR EKONOMİ ÜNİVERSİTESİ,www.ieu.edu.tr,ik@ieu.edu.tr,02322792525,02322792626,SAKARYA CAD. NO:156 BALÇOVA/İZMİR,YUSUF HAKAN,ABACIOĞLU
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,http://www.ikc.edu.tr/,rektorluk@ikc.edu.tr,02323293535,02323860888,İzmir Kâtip Çelebi Üniversitesi Çiğli Ana Yerleşkesi 35620 İZMİR,SAFFET,KÖSE
İZMİR KAVRAM MESLEK YÜKSEKOKULU,www.kavram.edu.tr,mudur@kavram.edu.tr,4449134,2323200113,Oğuzlar Mah. 1251/2 Sok. No:8 Konak/İzmir,-,-
İZMİR TINAZTEPE ÜNİVERSİTESİ,www.tinaztepe.edu.tr,rektorluk@tinaztepe.edu.tr,08508224988,0 232 440 44 22,"Aydoğdu Mahallesi, 1267/1 Sk., No.4 35400 Buca/İzmir",MUSTAFA,GÜVENÇER
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,http://www.iyte.edu.tr/,rektorluk@iyte.edu.tr,02327506001,0232 750 6015,İzmir Yüksek Teknoloji Enstitüsü Gülbahçe Kampüsü Urla/İZMİR,YUSUF,BARAN
KADİR HAS ÜNİVERSİTESİ,http://www.khas.edu.tr,rektorluk@khas.edu.tr,02125336532,0212 631 91 50,"Kadir Has Üniversitesi, Kadir Has Caddesi, Cibali / İSTANBUL 34083",MERYEM SONDAN,DURUKANOĞLU FEYİZ
KAFKAS ÜNİVERSİTESİ,http://www.kafkas.edu.tr,rektor@kafkas.edu.tr,04742251158,04742251160,Kafkas Üniversitesi Şehitler Mh. Turan Çelik Cd. Kombina Yolu Üzeri Merkez/KARS,HÜSNÜ,KAPU
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,www.istiklal.edu.tr,genelsekreterlik@istiklal.edu.tr,(0344) 400 -1000,(0344) 400-1025,"Kahramanmaraş İstiklal Üniversitesi Rektörlüğü, Menderes Mah. Cumhuriyet Bulvarı 46036 Sokak No:7 46060 Dulkadiroğlu/Kahramanmaraş",İSMAİL,BAKAN
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,www.ksu.edu.tr,genelsekreterlik@ksu.edu.tr,03443001000,0344 300 1037,"Kahramanmaraş Sütçü İmam Üniversitesi Rektörlüğü,  Avşar Mah. Batı Çevreyolu Blv. No: 251/A 46040 - Onikişubat/Kahramanmaraş",ALPTEKİN,YASIM
KAPADOKYA ÜNİVERSİTESİ,www.kapadokya.edu.tr,info@kapadokya.edu.tr,03843535009,03843535125,Üniversite Meydanı No:2 Mustafapaşa Ürgüp/Nevşehir,HASAN ALİ,KARASAR
KARABÜK ÜNİVERSİTESİ,http://www.karabuk.edu.tr/,iletisim@karabuk.edu.tr,03704338200,0 370 433 20 05,Karabük Üniversitesi Demir Çelik Kampüsü Balıklar Kaya Mevkii,FATİH,KIRIŞIK
KARADENİZ TEKNİK ÜNİVERSİTESİ,http://www.ktu.edu.tr,information@ktu.edu.tr,04623772101,04623253205,Karadeniz Teknik Üniversitesi 61080 - Trabzon,HAMDULLAH,ÇUVALCI
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,http://www.kmu.edu.tr,iletisim@kmu.edu.tr,03382262000,00382262023,"Karamanoğlu Mehmetbey Üniversitesi, Yunus Emre Yerleşkesi, 70100 KARAMAN / TÜRKİYE",MEHMET,GAVGALI
KASTAMONU ÜNİVERSİTESİ,http://www.kastamonu.edu.tr/ind ex.php/tr/,ozelkalem@kastamonu.edu.tr,0 366 280 10 02,0 366 280 10 38,Kastamonu Üniversitesi Rektörlüğü Kuzeykent Kampüsü Merkez/KASTAMONU,AHMET HAMDİ,TOPAL
KAYSERİ ÜNİVERSİTESİ,http://www.kayseri.edu.tr,basinyayin@kayseri.edu.tr,0352 504 38 38,352 504 38 37,Mevlana Mah. 15 Temmuz Yerleşkesi Kümeevler Talas/KAYSERİ,KURTULUŞ,KARAMUSTAFA
KIRIKKALE ÜNİVERSİTESİ,http://kku.edu.tr,ozelkalem@kku.edu.tr,03183573416,03183573016,Kırıkkale Üniversitesi Ankara Yolu 7. Km 71450 Yahşihan/Kırıkkale,ERSAN,ASLAN
KIRKLARELİ ÜNİVERSİTESİ,http://www.klu.edu.tr/,ozelkalem@klu.edu.tr,02882129688-89,02882129682,Cumhuriyet Mahallesi Kofcaz Yolu Kayalı Yerleşkesi Merkez-Kırklareli,BÜLENT,ŞENGÖRÜR
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,www.ahievran.edu.tr,ozelkalem@ahievran.edu.tr,+90 (386) 280 4045,+90 (386) 280 4052,Bağbaşı Mah. Sahir Kurutluoğlu Cad. No: 100 Merkez/KIRŞEHİR,MUSTAFA KASIM,KARAHOCAGİL
KİLİS 7 ARALIK ÜNİVERSİTESİ,www.kilis.edu.tr,ozelkalem@kilis.edu.tr,"03488142666/1001-
1002",03488142660,Mehmet Sanlı Mah. Doğan Güreş Paşa Bulvarı No.134 Merlez/KİLİS,MUSTAFA DOĞAN,KARACOŞKUN
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,www.kocaelisaglik.edu.tr,info@kocaelisaglik.edu.tr,0262 999 80 85,0 262 999 66 90,Yeniköy Merkez Mh. Ilıca Cd. No:29 Başiskele/KOCAELİ,MUZAFFER,ELMAS
KOCAELİ ÜNİVERSİTESİ,http://www.kocaeli.edu.tr/,rekiletisim@kocaeli.edu.tr,02623031001,0262 303 10 33,Umuttepe Merkez Yerleşkesi 41380 İzmit/KOCAELİ,NUH ZAFER,CANTÜRK
KOÇ ÜNİVERSİTESİ,http://www.ku.edu.tr,rektor@ku.edu.tr,02123381000,2123381248,"Koç Üniversitesi, Rumelifeneri Yolu, 34450, SARIYER, ISTANBUL",METİN,SİTTİ
KONYA GIDA VE TARIM ÜNİVERSİTESİ,http://www.gidatarim.edu.tr/,info@gidatarim.edu.tr,03322235488,03322235490,Melikşah Mah. Beyşehir Cad. No:9 42080 Meram / KONYA,EROL,TURAN
KONYA TEKNİK ÜNİVERSİTESİ,http://www.ktun.edu.tr/,ozelkalem@ktun.edu.tr,03323508585,03323540012,Akademi Mah. Yeni İstanbul Cad. No:235/1 Selçuklu/KONYA,OSMAN NURİ,ÇELİK
KTO KARATAY ÜNİVERSİTESİ,http://www.karatay.edu.tr,bilgi@karatay.edu.tr,4441251,0332 2020044,KTO Karatay Üniversitesi Rektörlüğü Akabe Mah. Alaaddin Kap Cad. No: 130 Karatay/KONYA,FEVZİ RİFAT,ORTAÇ
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,http://dpu.edu.tr,ozelkalem@dpu.edu.tr,02744434343,02742652004,Kütahya Dumlupınar Üniversitesi Evliya Çelebi Yerleşkesi Tavşanlı Yolu 10. km. KÜTAHYA,SÜLEYMAN,KIZILTOPRAK
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,http://www.ksbu.edu.tr/,bilgi@ksbu.edu.tr,02742652286,02742652285,Alipaşa Mahallesi Fatih Sultan Mehmet Bulvarı No./22 Kütahya Merkez,AHMET,TEKİN
LOKMAN HEKİM ÜNİVERSİTESİ,www.lokmanhekim.edu.tr,info@lokmanhekim.edu.tr,03122800808,312 280 0808,Söğütözü Mah. 2179. Cad. No:6 Çankaya Ankara,FATİH,GÜLTEKİN
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,www.ozal.edu.tr,genelsekreterlik@ozal.edu.tr,05326100255,04228461225,Alacakapı Mahallesi Kırkgöz Caddesi No:70 P.K. 44210 Battalgazi / MALATYA,RECEP,BENTLİ
MALTEPE ÜNİVERSİTESİ,http://www.maltepe.edu.tr/,maltepe@maltepe.edu.tr,02166261050,0216 626 10 70,Maltepe Üniversitesi Marmara Eğitim Köyü PK:34857 MALTEPE İSTANBUL,EDİBE,SÖZEN
MANİSA CELÂL BAYAR ÜNİVERSİTESİ,www.cbu.edu.tr,ozelkalem@cbu.edu.tr,02362011014,02362372442,Şehit Prof. Dr. İlhan Varank Kampüsü 45140 - Yunusemre - MANİSA,RANA,KİBAR
MARDİN ARTUKLU ÜNİVERSİTESİ,http://www.artuklu.edu.tr/,pdb@artuklu.edu.tr,04822134002,0 482 213 40 04,"Mardin Artuklu Üniversitesi Yenişehir Yerleşkesi, Diyarbakır Yolu Yenişehir Mardin",İBRAHİM,ÖZCOŞAR
MARMARA ÜNİVERSİTESİ,http://www.marmara.edu.tr,genelsekreterlik@marmara.edu. tr,0216 777 1020,0216 777 1020,M.Ü.Göztepe Kampüsü Rektörlük Binası 34722 Kadıköy / İSTANBUL,MUSTAFA,KURT
MEF ÜNİVERSİTESİ,http://www.mef.edu.tr,mef@mef.edu.tr,02123953600,0 212 395 36 92,Ayazağa Cad. No.4 34396 Maslak - Sarıyer - İstanbul,MUHAMMED,ŞAHİN
MERSİN ÜNİVERSİTESİ,http://www.mersin.edu.tr/idari/g enel-sekreterlik,gsekreterlik@mersin.edu.tr,03243610001,0324 361 00 15,Mersin Üniversitesi Çiftlikköy Kampusu Rektörlük Binası 33343 Yenişehir/MERSİN,EROL,YAŞAR
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,https://www.msgsu.edu.tr,rector@msgsu.edu.tr,02122933760,0212 243 08 88,Meclis-i Mebusan Caddesi No: 24 Fındıklı 34427 İstanbul,HANDAN,İNCİ ELÇİ
MUDANYA ÜNİVERSİTESİ,https://mudanya.edu.tr,bilgi@mudanya.edu.tr,0224 224 2022,0224 247 1704,Çağrışan Mah. 2029 Sk. No:2 16265 Mudanya/Bursa,HASAN,TOSUN
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,http://www.mu.edu.tr/,okalem@mu.edu.tr,02522111000,02522239274,Muğla Sıtkı Koçman Üniversitesi Rektörlüğü 48000 Menteşe/MUĞLA,TURHAN,KAÇAR
MUNZUR ÜNİVERSİTESİ,www.munzur.edu.tr,universite@munzur.edu.tr,04282131794,04282132752,Aktuluk Mahallesi Üniversite Yerleşkesi Merkez/TUNCELİ,KENAN,PEKER
MUŞ ALPARSLAN ÜNİVERSİTESİ,www.alparslan.edu.tr,bilgi@alparslan.edu.tr,04362494949,04362491022,"Muş Alparslan Üniversitesi Kampusu, Rektörlük, Diyarbakır Yolu 7. km 49250- MUŞ",MUSTAFA,ALİCAN
NECMETTİN ERBAKAN ÜNİVERSİTESİ,http://www.erbakan.edu.tr,bilgi@erbakan.edu.tr,03322210699,03322362141,Yaka Mah. Yeni Meram Cad. Kasım Halife Sok. No: 11 (A Blok) Posta Kodu: 42090 Meram / KONYA,CEM,ZORLU
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,http://www.nevsehir.edu.tr/,ozelkalem@nevsehir.edu.tr,03842281073,384 215 30 58,Nevşehir Hacı Bektaş Veli Üniversitesi Rektörlüğü 2000 Evler Mahallesi Zübeyde Hanım Cad. 50300,SEMİH,AKTEKİN
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,http://www.ohu.edu.tr/,ozelkalem@ohu.edu.tr,03882252602-05-06,0 388 225 26 00,Niğde Ömer Halisdemir Üniversitesi Rektörlüğü Rektörlük Binası 2. Kat Merkez Yerleşke Bor Yolu Üzeri 51240 Merkez/NİĞDE,HASAN,USLU
NUH NACİ YAZGAN ÜNİVERSİTESİ,http://www.nny.edu.tr,info@nny.edu.tr,03523240000,0352 324 00 04,Erkilet Dere Mah. Kuzey Çevreyolu Nuh Naci Yazgan Üniversitesi Kocasinan/Kayseri,AHMET FAZIL,ÖZSOYLU
ONDOKUZ MAYIS ÜNİVERSİTESİ,http://www.omu.edu.tr/,iletisim@omu.edu.tr,03624575870,0362 457 60 91,"Ondokuz Mayıs Üniversitesi Rektörlük Binası Kurupelit Kampüsü, 55139 Atakum / SAMSUN",YAVUZ,ÜNAL
ORDU ÜNİVERSİTESİ,http://www.odu.edu.tr,rektorozelkalem@odu.edu.tr,04522345010,045222265280,Cumhuriyet Yerleşkesi 52200 Altınordu/ORDU,ORHAN,BAŞ
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,http://www.metu.edu.tr,gensek@metu.edu.tr,03122101100,2101105,Orta Doğu Teknik Üniversitesi Üniversiteler Mah.Dumlupınar Blv.No:1 06800 Çankaya Ankara/TÜRKİYE,MUSTAFA VERŞAN,KÖK
OSMANİYE KORKUT ATA ÜNİVERSİTESİ,http://www.osmaniye.edu.tr,osmaniye@osmaniye.edu.tr,03288251818,328 825 00 97,Karacaoğlan Yerleşkesi 80000 Merkez/OSMANİYE,TURGAY,UZUN
OSTİM TEKNİK ÜNİVERSİTESİ,www.ostimteknik.edu.tr,esra.demirci@ostimteknik.edu.t r,03123861092,03123543993,"OSTİM Teknik Üniversitesi OSTİM, 06374 Ankara",MURAT ALİ,YÜLEK
ÖZYEĞİN ÜNİVERSİTESİ,www.ozyegin.edu.tr,rector@ozyegin.edu.tr,02165649300,02165649999,Nişantepe Mah. Orman Sok. No:34-36 Çekmeköy-İstanbul,FERİDE ESRA,GENÇTÜRK
PAMUKKALE ÜNİVERSİTESİ,http://www.pau.edu.tr,ozelkalem@pau.edu.tr,02582962020,0 258 296 23 33,Pamukkale Üniversitesi Rektörlüğü Kınıklı Yerleşkesi 20070 DENİZLİ,AHMET,KUTLUHAN
PİRİ REİS ÜNİVERSİTESİ,http://www.pirireis.edu.tr,bilgi@pirireis.edu.tr,02165810050,02165810051,"Postane Mahallesi, Eflatun Sk. No:8, 34940 Tuzla/İSTANBUL",NAFİZ,ARICA
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,erdogan.edu.tr,genel.sekreter@erdogan.edu.tr,04642238100,0464 223 6328,"Recep Tayyip Erdoğan Üniversitesi Zihni Derin Yerleşkesi, Fener Mah. 53100 RİZE",YUSUF,YILMAZ
SABANCI ÜNİVERSİTESİ,http://www.sabanciuniv.edu,rektor@sabanciuniv.edu,02164839000,0216 483 90 05,Sabancı Üniversite Orta Mah. Üniversite Caddesi No:27 34956 Orhanlı Tuzla İstanbu,YUSUF,LEBLEBİCİ
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,http://www.sbu.edu.tr,bilgi@sbu.edu.tr,02164189616,02164189620,"Mekteb-i Tıbbiye-i Şahane (Haydarpaşa) Külliyesi, Selimiye Mah. Tıbbiye Cad. No:38 34668 ÜSKÜDAR/İSTANBUL",KEMALETTİN,AYDIN
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,www.subu.edu.tr,subu@subu.edu.tr,0264 6160054,0264 616 0014,Sakarya uygulamalı bilimler üniversitesi Esentepe Kampüsü Serdivan /Sakarya,MEHMET,SARIBIYIK
SAKARYA ÜNİVERSİTESİ,http://www.sakarya.edu.tr,ilko@sakarya.edu.tr,02642955454,02642955032,Sakarya Üniversitesi Esentepe Kampüsü 54187 Serdivan / SAKARYA,HAMZA,AL
SAMSUN ÜNİVERSİTESİ,www.samsun.edu.tr,iletisim@samsun.edu.tr,0(362)3130055,0(362)3130200,Gürgenyatak Mahallesi Canik/SAMSUN,MAHMUT,AYDIN
SANKO ÜNİVERSİTESİ,http://www.sanko.edu.tr,info@sanko.edu.tr,03422116500,03422116505,İncilipınar Mah. Gazi Muhtar Paşa Bulv. No:36 27090 Şehitkamil/ GAZİANTEP,GÜNER,DAĞLI
SELÇUK ÜNİVERSİTESİ,http://www.selcuk.edu.tr/,ozelkalem@selcuk.edu.tr,03322238400,03322238265,"Alaaddin Keykubat Kampüsü, Akademi Mahallesi, Yeni İstanbul Caddesi No:369/1 42130 Selçuklu-KONYA",METİN,AKSOY
SİİRT ÜNİVERSİTESİ,http://siirt.edu.tr,siu@siirt.edu.tr,04842121111,04842231998,Kezer Yerleşkesi Veysel Karani Mah. Üniversite Cad. No:1 56100 Merkez/SİİRT,NİHAT,ŞINDAK
SİNOP ÜNİVERSİTESİ,http://www.sinop.edu.tr,sinop@sinop.edu.tr,03682715757,0-368 2715763,Korucuk Köyü Trafo Mahallesi No:36  57000 ? SİNOP,ŞAKİR,TAŞDEMİR
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,http://www.sivas.edu.tr/,bilgi@sivas.edu.tr,0 346 217 00 00,0 346 219 16 78,Gültepe Mahallesi Mecnun Otyakmaz Caddesi No:1 Merkez/Sivas,MEHMET,KUL
SİVAS CUMHURİYET ÜNİVERSİTESİ,http://www.cumhuriyet.edu.tr,ryaziisl@cumhuriyet.edu.tr,03462191158,03462191110,"Cumhuriyet Üniversitesi, Yenişehşr Mah. Kayseri Caddesi 58140 Kampüs SİVAS",ALİM,YILDIZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,http://www.sdu.edu.tr/,bidb@sdu.edu.tr,02462111000,02462370431,Süleyman Demirel Üniversitesi Batı Yerleşkesi Rektörlük Binası 32260  Çünür / ISPARTA,MEHMET,SALTAN
ŞIRNAK ÜNİVERSİTESİ,http://www.sirnak.edu.tr,posta@sirnak.edu.tr,04862168241,04862163285,Yeni Mahalle Cizre Caddesi Mehmet Emin Acar Kampüsü 73000 Şırnak - Türkiye,ABDURRAHİ M,ALKIŞ
TARSUS ÜNİVERSİTESİ,www.tarsus.edu.tr,bilgi@tarsus.edu.tr,03246000033,03246000060,Takbaş  Mah. Kartaltepe sokak 33400 Tarsus / MERSİN,ORHAN,AYDIN
TED ÜNİVERSİTESİ,http://www.tedu.edu.tr,info@tedu.edu.tr,03125850000,03124184148,"TED Üniversitesi, Ziya Gökalp Caddesi No.48 06420, Kolej Çankaya ANKARA",İHSAN,SABUNCUOĞLU
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,http://www.nku.edu.tr,ozelkalem@nku.edu.tr,02822501002,028225099000,Namık Kemal Mah. Kampüs Cad. No:1 Merkez-TEKİRDAĞ,MÜMİN,ŞAHİN
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,www.etu.edu.tr,bilgi@etu.edu.tr,03122924005,03122924099,SÖĞÜTÖZÜ CADDESİ NO:43 ÇANKAYA/ANKARA,YUSUF,SARINAY
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,www.gop.edu.tr,gensek@gop.edu.tr,0-356-2521616,0-356-2521626,Gaziosmanpaşa Üniversitesi Rektörlüğü Taşlıçiftlik Yerleşkesi TOKAT,FATİH,YILMAZ
TOROS ÜNİVERSİTESİ,www.toros.edu.tr,rektorluk@toros.edu.tr,03243253300,0324 325 3301,Bahçelievler Kampüsü 1857 Sokak No:12 33140 Yenişehir MERSİN,ÖMER,ARIÖZ
TRABZON ÜNİVERSİTESİ,www.trabzon.edu.tr,genelsekreterlik@trabzon.edu.t r,4624551000,04622484659,"TRABZON ÜNİVERSİTESİ REKTÖRLÜĞÜ
Söğütlü Mahallesi",EMİN,AŞIKKUTLU
TRAKYA ÜNİVERSİTESİ,http://www.trakya.edu.tr/,genelsekreterlik@trakya.edu.tr,"02842234210-11-12-
13/02842364981-82-",02842234203,Trakya Üniversitesi Rektörlüğü 22030 Balkan Yerleşkesi / EDİRNE,ERHAN,TABAKOĞLU
TÜRK HAVA KURUMU ÜNİVERSİTESİ,http://www.thk.edu.tr,bilgiedinme@thk.edu.tr,03125895500,0312 342 84 60,Bahçekapı Mahallesi Okul Sokak No:11 Etimesgut / ANKARA,RAHMİ,ER
TÜRK-ALMAN ÜNİVERSİTESİ,http://www.tau.edu.tr/,info@tau.edu.tr,0 216 333 30 00,0216 333 30 31,Şahinkaya Cad. No: 86 Beykoz/İSTANBUL,CEMAL,YILDIZ
"TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ",-,-,-,-,-,-,-
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,-,-,-,-,-,-,-
UFUK ÜNİVERSİTESİ,http://www.ufuk.edu.tr,ozelkalem@ufuk.edu.tr,03125867041,3125867124,Ufuk Üniversitesi Rektörlüğü  Kızılcaşar Mahallesi İncek Bulvarı 06836 İncek/Gölbaşı/ANKARA,TÜRKMEN,DERDİYOK
UŞAK ÜNİVERSİTESİ,http://www.usak.edu.tr,ozelkalem@usak.edu.tr,02762212121,0276 221 22 02,Uşak Üniversitesi Rektörlüğü 1 Eylül Kampüsü  64200 - UŞAK,EKREM,SAVAŞ
ÜSKÜDAR ÜNİVERSİTESİ,http://www.uskudar.edu.tr,info@uskudar.edu.tr,02164002222,0216 474 12 56,Altunizade Mah.Haluk Türksoy Sok. No:14 Üsküdar/İstanbul,NAZİFE,GÜNGÖR
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,http://www.yyu.edu.tr/,bilgi@yyu.edu.tr,4445065,0 432 486 54 13,"Van Yüzüncü Yıl Üniversitesi Rektörlüğü, 65080, Kampüs / VAN",HAMDULLAH,ŞEVLİ
YALOVA ÜNİVERSİTESİ,http://www.yalova.edu.tr/rektorl uk,ozelkalem@yalova.edu.tr,02268155001,226 815 50 04,Çınarcık Yolu 2.km Merkez Kampüsü Yalova,MEHMET,BAHÇEKAPILI
YAŞAR ÜNİVERSİTESİ,http://www.yasar.edu.tr,burcu.sagir@yasar.edu.tr,02325707100,2325707000,"Üniversite Cad., No.:35-37, Ağaçlı Yol, Bornova-İZMİR",-,-
YEDİTEPE ÜNİVERSİTESİ,http://www.yeditepe.edu.tr/,caykutbingol@yeditepe.edu.tr,02165780203,0216 578 00 00,26 Ağustos Yerleşimi.Kayışdağı Cad.34755 Ataşehir/İstanbul,CANAN,AYKUT BİNGÖL
YILDIZ TEKNİK ÜNİVERSİTESİ,http://www.yildiz.edu.tr,ozelkalem@yildiz.edu.tr,02122277119,0212 2276990,Davutpaşa Mah. Davutpaşa Cad. 34220 Esenler - İstanbul,TAMER,YILMAZ
YOZGAT BOZOK ÜNİVERSİTESİ,http://www.bozok.edu.tr/,ozel.kalem@bozok.edu.tr,03542123728,0 354 212 28 37,Medrese Mahallesi Adnan Menderes Bulvarı No:118 66200 Yozgat,EVREN,YAŞAR
YÜKSEK İHTİSAS ÜNİVERSİTESİ,www.yuksekihtisasuniversitesi.e du.tr,yiu@yiu.edu.tr,0312 329 1010,0312 329 1015,İşçi blokları mahallesi 1505. sokak Çankaya/ANKARA,RABET,GÖZİL
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,https://www.beun.edu.tr,rektor@beun.edu.tr,0372 291 11 00,0  372 257 50 78,Zonguldak Bülent Ecevit Üniversitesi Rektörlüğü İncivez-ZONGULDAK,İSMAİL HAKKI,ÖZÖLÇER
